,Games,Cards,Coins,Scopas,7 Of Coin,Total Points,Players
89,90.0,28.0,8.0,0.0,1.0,3.0,CPU1
90,91.0,22.0,7.0,1.0,1.0,4.0,CPU1
91,92.0,20.0,7.0,0.0,1.0,2.0,CPU1
92,93.0,15.0,2.0,0.0,1.0,1.0,CPU1
93,94.0,18.0,3.0,0.0,0.0,0.0,CPU1
94,95.0,24.0,9.0,1.0,1.0,4.0,CPU1
95,96.0,25.0,7.0,1.0,1.0,4.0,CPU1
96,97.0,22.0,6.0,0.0,0.0,2.0,CPU1
97,98.0,19.0,7.0,0.0,0.0,1.0,CPU1
98,99.0,19.0,5.0,0.0,0.0,0.0,CPU1
99,100.0,26.0,7.0,1.0,1.0,4.0,CPU1
100,1.0,10.0,4.0,1.0,1.0,2.0,CPU2
101,2.0,13.0,2.0,0.0,0.0,0.0,CPU2
102,3.0,17.0,4.0,1.0,0.0,1.0,CPU2
103,4.0,16.0,3.0,0.0,1.0,1.0,CPU2
104,5.0,15.0,4.0,0.0,0.0,0.0,CPU2
105,6.0,23.0,6.0,1.0,1.0,4.0,CPU2
106,7.0,20.0,4.0,0.0,0.0,0.0,CPU2
107,8.0,17.0,5.0,0.0,1.0,1.0,CPU2
108,9.0,18.0,5.0,0.0,0.0,0.0,CPU2
109,10.0,21.0,7.0,0.0,1.0,3.0,CPU2
110,11.0,11.0,4.0,0.0,0.0,0.0,CPU2
111,12.0,19.0,5.0,0.0,1.0,1.0,CPU2
112,13.0,12.0,1.0,0.0,0.0,0.0,CPU2
113,14.0,13.0,6.0,1.0,0.0,2.0,CPU2
114,15.0,11.0,5.0,1.0,0.0,1.0,CPU2
115,16.0,21.0,5.0,0.0,1.0,2.0,CPU2
116,17.0,16.0,4.0,0.0,0.0,0.0,CPU2
117,18.0,23.0,9.0,0.0,1.0,3.0,CPU2
118,19.0,18.0,3.0,1.0,1.0,2.0,CPU2
119,20.0,14.0,5.0,1.0,1.0,2.0,CPU2
120,21.0,12.0,4.0,1.0,1.0,2.0,CPU2
121,22.0,22.0,8.0,0.0,1.0,3.0,CPU2
122,23.0,21.0,4.0,0.0,0.0,1.0,CPU2
123,24.0,13.0,5.0,0.0,1.0,1.0,CPU2
124,25.0,21.0,5.0,0.0,0.0,1.0,CPU2
125,26.0,24.0,7.0,3.0,0.0,5.0,CPU2
126,27.0,21.0,5.0,0.0,0.0,1.0,CPU2
127,28.0,24.0,4.0,0.0,0.0,1.0,CPU2
128,29.0,10.0,1.0,0.0,0.0,0.0,CPU2
129,30.0,18.0,4.0,2.0,0.0,2.0,CPU2
130,31.0,29.0,8.0,1.0,1.0,4.0,CPU2
131,32.0,7.0,2.0,1.0,0.0,1.0,CPU2
132,33.0,26.0,6.0,0.0,1.0,3.0,CPU2
133,34.0,9.0,0.0,0.0,0.0,0.0,CPU2
134,35.0,10.0,3.0,0.0,0.0,0.0,CPU2
135,36.0,14.0,4.0,0.0,0.0,0.0,CPU2
136,37.0,22.0,5.0,0.0,1.0,2.0,CPU2
137,38.0,13.0,2.0,0.0,0.0,0.0,CPU2
138,39.0,24.0,5.0,1.0,1.0,3.0,CPU2
139,40.0,19.0,6.0,0.0,1.0,2.0,CPU2
140,41.0,25.0,6.0,2.0,0.0,4.0,CPU2
141,42.0,20.0,6.0,0.0,1.0,2.0,CPU2
142,43.0,19.0,6.0,0.0,1.0,2.0,CPU2
143,44.0,17.0,1.0,0.0,1.0,1.0,CPU2
144,45.0,11.0,2.0,0.0,0.0,0.0,CPU2
145,46.0,15.0,5.0,0.0,0.0,0.0,CPU2
146,47.0,13.0,2.0,0.0,1.0,1.0,CPU2
147,48.0,16.0,5.0,0.0,0.0,0.0,CPU2
148,49.0,15.0,4.0,0.0,1.0,1.0,CPU2
149,50.0,20.0,4.0,0.0,0.0,0.0,CPU2
150,51.0,21.0,5.0,1.0,1.0,3.0,CPU2
151,52.0,17.0,6.0,0.0,1.0,2.0,CPU2
152,53.0,14.0,3.0,0.0,0.0,0.0,CPU2
153,54.0,18.0,4.0,0.0,0.0,0.0,CPU2
154,55.0,14.0,4.0,0.0,1.0,1.0,CPU2
155,56.0,22.0,6.0,0.0,1.0,3.0,CPU2
156,57.0,17.0,5.0,2.0,1.0,3.0,CPU2
157,58.0,12.0,2.0,0.0,0.0,0.0,CPU2
158,59.0,21.0,5.0,0.0,1.0,2.0,CPU2
159,60.0,29.0,8.0,0.0,1.0,3.0,CPU2
160,61.0,23.0,5.0,0.0,0.0,1.0,CPU2
161,62.0,19.0,7.0,0.0,1.0,2.0,CPU2
162,63.0,14.0,2.0,0.0,1.0,1.0,CPU2
163,64.0,19.0,4.0,0.0,1.0,1.0,CPU2
164,65.0,20.0,6.0,1.0,1.0,3.0,CPU2
165,66.0,13.0,4.0,1.0,1.0,2.0,CPU2
166,67.0,13.0,5.0,2.0,0.0,2.0,CPU2
167,68.0,6.0,0.0,0.0,0.0,0.0,CPU2
168,69.0,12.0,3.0,0.0,0.0,0.0,CPU2
169,70.0,16.0,5.0,0.0,1.0,1.0,CPU2
170,71.0,26.0,7.0,0.0,0.0,2.0,CPU2
171,72.0,23.0,8.0,0.0,1.0,3.0,CPU2
172,73.0,21.0,4.0,0.0,1.0,2.0,CPU2
173,74.0,19.0,3.0,0.0,0.0,0.0,CPU2
174,75.0,19.0,3.0,0.0,0.0,0.0,CPU2
175,76.0,14.0,4.0,0.0,0.0,0.0,CPU2
176,77.0,26.0,5.0,1.0,1.0,3.0,CPU2
177,78.0,18.0,7.0,0.0,1.0,2.0,CPU2
178,79.0,22.0,7.0,0.0,1.0,3.0,CPU2
179,80.0,9.0,0.0,0.0,0.0,0.0,CPU2
180,81.0,27.0,6.0,2.0,0.0,4.0,CPU2
181,82.0,19.0,7.0,0.0,1.0,2.0,CPU2
182,83.0,17.0,3.0,0.0,0.0,0.0,CPU2
183,84.0,19.0,5.0,0.0,0.0,0.0,CPU2
184,85.0,21.0,8.0,1.0,1.0,4.0,CPU2
185,86.0,11.0,4.0,0.0,1.0,1.0,CPU2
186,87.0,17.0,7.0,1.0,0.0,2.0,CPU2
187,88.0,15.0,6.0,0.0,1.0,2.0,CPU2
188,89.0,26.0,7.0,0.0,1.0,3.0,CPU2
189,90.0,12.0,2.0,0.0,0.0,0.0,CPU2
190,91.0,18.0,3.0,0.0,0.0,0.0,CPU2
191,92.0,20.0,3.0,0.0,0.0,0.0,CPU2
192,93.0,25.0,8.0,1.0,0.0,3.0,CPU2
193,94.0,22.0,7.0,0.0,1.0,3.0,CPU2
194,95.0,16.0,1.0,0.0,0.0,0.0,CPU2
195,96.0,15.0,3.0,0.0,0.0,0.0,CPU2
196,97.0,18.0,4.0,1.0,1.0,2.0,CPU2
197,98.0,21.0,3.0,1.0,1.0,3.0,CPU2
198,99.0,21.0,5.0,0.0,1.0,2.0,CPU2
199,100.0,14.0,3.0,0.0,0.0,0.0,CPU2
