,P1,P2
Cards,72,104
Coins,23,22
,P1,P2
Cards,18,26
Coins,5,5
,P1,P2
Cards,28,56
Coins,9,15
,P1,P2
Cards,54,74
Coins,14,23
,P1,P2
Cards,66,104
Coins,16,31
